1;H=84;T=24;Hs=0.0;sp=2;sf=7;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=0; tx_trials=0; tx_power=2; tx_time_on_air=0; tx_counter=0; tx_frequency=0
5;H=84;T=24;Hs=0.0;sp=2;sf=7;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2139; tx_counter=4; tx_frequency=868000000
9;H=85;T=24;Hs=0.0;sp=2;sf=7;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2139; tx_counter=8; tx_frequency=868000000
13;H=87;T=24;Hs=0.0;sp=2;sf=7;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2139; tx_counter=12; tx_frequency=868000000
17;H=88;T=23;Hs=0.0;sp=2;sf=7;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2139; tx_counter=16; tx_frequency=868000000
1;H=93;T=23;Hs=0.0;sp=2;sf=7;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=0; tx_trials=0; tx_power=2; tx_time_on_air=0; tx_counter=0; tx_frequency=0
1;H=81;T=31;Hs=0.0;sp=2;sf=7;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=0; tx_trials=0; tx_power=2; tx_time_on_air=0; tx_counter=0; tx_frequency=0
5;H=93;T=31;Hs=0.0;sp=2;sf=7;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2139; tx_counter=4; tx_frequency=868000000
9;H=92;T=31;Hs=0.0;sp=2;sf=7;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2139; tx_counter=8; tx_frequency=868000000
13;H=95;T=31;Hs=49.80406;sp=2;sf=7;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2139; tx_counter=12; tx_frequency=868000000
17;H=72;T=32;Hs=50.69469;sp=2;sf=7;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=16; tx_frequency=868000000
21;H=69;T=32;Hs=50.58782;sp=2;sf=7;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=20; tx_frequency=868000000
25;H=67;T=33;Hs=50.58782;sp=2;sf=7;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=24; tx_frequency=868000000
29;H=53;T=37;Hs=50.58782;sp=2;sf=7;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=28; tx_frequency=868000000
33;H=47;T=38;Hs=50.30282;sp=2;sf=7;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=32; tx_frequency=868000000
37;H=53;T=38;Hs=50.23157;sp=2;sf=7;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=36; tx_frequency=868000000
41;H=46;T=41;Hs=50.65907;sp=2;sf=7;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=40; tx_frequency=868000000
45;H=39;T=41;Hs=50.87282;sp=2;sf=7;rx_timestamp=1445350935; rssi=-121; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=44; tx_frequency=868000000
49;H=42;T=40;Hs=51.05094;sp=2;sf=7;rx_timestamp=1445350935; rssi=-121; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=48; tx_frequency=868000000
53;H=39;T=42;Hs=50.83719;sp=2;sf=7;rx_timestamp=1445350935; rssi=-121; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=52; tx_frequency=868000000
57;H=41;T=39;Hs=51.30032;sp=2;sf=7;rx_timestamp=1445350935; rssi=-121; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=56; tx_frequency=868000000
61;H=48;T=37;Hs=50.58782;sp=2;sf=7;rx_timestamp=1445350935; rssi=-121; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=60; tx_frequency=868000000
65;H=48;T=38;Hs=50.58782;sp=2;sf=7;rx_timestamp=1445350935; rssi=-121; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=64; tx_frequency=868000000
69;H=50;T=36;Hs=50.30282;sp=2;sf=7;rx_timestamp=1445350935; rssi=-121; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=68; tx_frequency=868000000
73;H=51;T=35;Hs=49.87531;sp=2;sf=7;rx_timestamp=1445350935; rssi=-121; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=72; tx_frequency=868000000
77;H=55;T=34;Hs=49.62594;sp=2;sf=7;rx_timestamp=1445350935; rssi=-121; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=76; tx_frequency=868000000
81;H=55;T=34;Hs=49.73281;sp=2;sf=7;rx_timestamp=1445350935; rssi=-121; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=80; tx_frequency=868000000
85;H=58;T=34;Hs=49.55468;sp=2;sf=7;rx_timestamp=1445350935; rssi=-121; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=84; tx_frequency=868000000
89;H=48;T=37;Hs=49.55468;sp=2;sf=7;rx_timestamp=1445350935; rssi=-121; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=88; tx_frequency=868000000
93;H=44;T=39;Hs=50.30282;sp=2;sf=7;rx_timestamp=1445350935; rssi=-121; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=92; tx_frequency=868000000
97;H=38;T=42;Hs=49.55468;sp=2;sf=7;rx_timestamp=3022337874; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=96; tx_frequency=868000000
101;H=39;T=43;Hs=47.27468;sp=2;sf=7;rx_timestamp=3022337874; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=100; tx_frequency=868000000
105;H=32;T=44;Hs=49.73281;sp=2;sf=7;rx_timestamp=3022337874; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=104; tx_frequency=868000000
109;H=36;T=43;Hs=49.62594;sp=2;sf=7;rx_timestamp=3022337874; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=108; tx_frequency=868000000
113;H=34;T=44;Hs=50.01781;sp=2;sf=7;rx_timestamp=3022337874; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=112; tx_frequency=868000000
117;H=33;T=43;Hs=49.94657;sp=2;sf=7;rx_timestamp=3022337874; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=116; tx_frequency=868000000
121;H=36;T=43;Hs=50.01781;sp=2;sf=7;rx_timestamp=3022337874; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=120; tx_frequency=868000000
125;H=34;T=43;Hs=47.27468;sp=2;sf=7;rx_timestamp=3022337874; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=124; tx_frequency=868000000
129;H=38;T=41;Hs=48.87781;sp=2;sf=7;rx_timestamp=3022337874; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=128; tx_frequency=868000000
133;H=47;T=38;Hs=49.91094;sp=2;sf=7;rx_timestamp=3022337874; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=132; tx_frequency=868000000
137;H=44;T=38;Hs=49.44781;sp=2;sf=7;rx_timestamp=3022337874; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=136; tx_frequency=868000000
141;H=42;T=37;Hs=49.80406;sp=2;sf=7;rx_timestamp=3022337874; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=140; tx_frequency=868000000
145;H=44;T=36;Hs=49.59031;sp=2;sf=7;rx_timestamp=3022337874; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=144; tx_frequency=868000000
149;H=46;T=36;Hs=49.1628;sp=2;sf=7;rx_timestamp=3022337874; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=148; tx_frequency=868000000
153;H=46;T=37;Hs=49.30531;sp=2;sf=7;rx_timestamp=3022337874; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=152; tx_frequency=868000000
157;H=43;T=37;Hs=48.94906;sp=2;sf=7;rx_timestamp=3022337874; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=156; tx_frequency=868000000
161;H=45;T=37;Hs=49.30531;sp=2;sf=7;rx_timestamp=3022337874; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=160; tx_frequency=868000000
165;H=45;T=39;Hs=49.30531;sp=2;sf=7;rx_timestamp=3022337874; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=164; tx_frequency=868000000
169;H=48;T=37;Hs=47.31029;sp=2;sf=7;rx_timestamp=3022337874; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=168; tx_frequency=868000000
173;H=49;T=35;Hs=47.27468;sp=2;sf=7;rx_timestamp=3022337874; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=172; tx_frequency=868000000
177;H=56;T=35;Hs=49.66156;sp=2;sf=7;rx_timestamp=3022337874; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=176; tx_frequency=868000000
181;H=55;T=34;Hs=49.66156;sp=2;sf=7;rx_timestamp=3022337874; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=180; tx_frequency=868000000
185;H=54;T=34;Hs=49.55468;sp=2;sf=7;rx_timestamp=3022337874; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=184; tx_frequency=868000000
189;H=54;T=33;Hs=49.44781;sp=2;sf=7;rx_timestamp=3022337874; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=188; tx_frequency=868000000
193;H=58;T=33;Hs=49.55468;sp=2;sf=7;rx_timestamp=3022337874; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=192; tx_frequency=868000000
197;H=49;T=35;Hs=49.55468;sp=2;sf=7;rx_timestamp=3022337874; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=196; tx_frequency=868000000
201;H=47;T=36;Hs=49.51906;sp=2;sf=7;rx_timestamp=3022337874; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=200; tx_frequency=868000000
205;H=47;T=38;Hs=49.55468;sp=2;sf=7;rx_timestamp=3022337874; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=204; tx_frequency=868000000
209;H=45;T=38;Hs=49.55468;sp=2;sf=7;rx_timestamp=3022337874; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=208; tx_frequency=868000000
213;H=44;T=40;Hs=49.66156;sp=2;sf=7;rx_timestamp=3022337874; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=212; tx_frequency=868000000
217;H=39;T=40;Hs=49.41219;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=216; tx_frequency=868000000
221;H=42;T=39;Hs=49.30531;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=220; tx_frequency=868000000
225;H=43;T=39;Hs=49.48344;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=224; tx_frequency=868000000
229;H=44;T=37;Hs=49.34093;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=228; tx_frequency=868000000
233;H=47;T=36;Hs=49.62594;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=232; tx_frequency=868000000
237;H=48;T=35;Hs=49.51906;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=236; tx_frequency=868000000
241;H=45;T=35;Hs=49.55468;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=240; tx_frequency=868000000
245;H=44;T=36;Hs=49.73281;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=244; tx_frequency=868000000
249;H=45;T=37;Hs=49.98219;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=248; tx_frequency=868000000
253;H=44;T=37;Hs=49.51906;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=252; tx_frequency=868000000
257;H=45;T=37;Hs=49.62594;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=256; tx_frequency=868000000
261;H=45;T=36;Hs=49.73281;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=260; tx_frequency=868000000
265;H=48;T=36;Hs=49.66156;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=264; tx_frequency=868000000
269;H=49;T=36;Hs=49.44781;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=268; tx_frequency=868000000
273;H=48;T=35;Hs=49.62594;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=272; tx_frequency=868000000
277;H=50;T=34;Hs=49.87531;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=276; tx_frequency=868000000
281;H=48;T=34;Hs=50.05344;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=280; tx_frequency=868000000
285;H=53;T=34;Hs=50.05344;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=284; tx_frequency=868000000
289;H=54;T=34;Hs=49.62594;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=288; tx_frequency=868000000
293;H=54;T=33;Hs=49.94657;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=292; tx_frequency=868000000
297;H=57;T=33;Hs=49.55468;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=296; tx_frequency=868000000
301;H=58;T=33;Hs=49.94657;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=300; tx_frequency=868000000
305;H=56;T=32;Hs=49.80406;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=304; tx_frequency=868000000
309;H=57;T=32;Hs=49.66156;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=308; tx_frequency=868000000
313;H=58;T=32;Hs=49.69718;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=312; tx_frequency=868000000
317;H=55;T=32;Hs=49.55468;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=316; tx_frequency=868000000
321;H=59;T=32;Hs=49.55468;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=320; tx_frequency=868000000
