2024-07-16 10:57:45.834550;8;H=69;T=35;Hs=67.40293;sp=20;sf=12;lost_time=0;rx_timestamp=2119563110; rssi=-93; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-16 11:02:44.662155;9;H=56;T=34;Hs=62.70039;sp=2;sf=7;lost_time=0;rx_timestamp=2418507442; rssi=-105; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;10;H=56;T=34;Hs=62.70039;sp=2;sf=12;lost_time=0;rx_timestamp=2720865153; rssi=-105; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;11;H=56;T=34;Hs=62.70039;sp=20;sf=7;lost_time=0;rx_timestamp=3018749620; rssi=-89; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;12;H=56;T=34;Hs=62.70039;sp=20;sf=12;lost_time=0;rx_timestamp=3321107350; rssi=-92; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;13;H=51;T=36;Hs=62.09476;sp=2;sf=7;lost_time=0;rx_timestamp=3620054166; rssi=-105; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;14;H=51;T=36;Hs=62.09476;sp=2;sf=12;lost_time=1;rx_timestamp=3922411233; rssi=-105; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;15;H=51;T=36;Hs=62.09476;sp=20;sf=7;lost_time=0;rx_timestamp=4220298657; rssi=-89; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;16;H=51;T=36;Hs=62.09476;sp=20;sf=12;lost_time=0;rx_timestamp=227689556; rssi=-91; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;17;H=43;T=38;Hs=62.09476;sp=2;sf=7;lost_time=0;rx_timestamp=526647208; rssi=-105; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;18;H=43;T=38;Hs=62.09476;sp=2;sf=12;lost_time=0;rx_timestamp=829005857; rssi=-105; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
