2024-07-16 07:22:34.764355;2;H=94;T=23;Hs=0.0;sp=2;sf=12;lost_time=0;rx_timestamp=56407498; rssi=-96; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;6;H=93;T=23;Hs=0.0;sp=2;sf=12;lost_time=1;rx_timestamp=227734886; rssi=-91; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;2;H=88;T=24;Hs=0.0;sp=2;sf=12;lost_time=0;rx_timestamp=848305903; rssi=-92; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;2;H=93;T=23;Hs=0.0;sp=2;sf=12;lost_time=1;rx_timestamp=47060389; rssi=-88; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;2;H=91;T=23;Hs=0.0;sp=2;sf=12;lost_time=0;rx_timestamp=41465601; rssi=-92; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-16 07:57:31.155138;6;H=90;T=23;Hs=0.0;sp=2;sf=12;lost_time=0;rx_timestamp=163003529; rssi=-91; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-16 09:28:55.433475;2;H=80;T=25;Hs=0.0;sp=2;sf=12;lost_time=0;rx_timestamp=305895782; rssi=-93; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;2;H=51;T=41;Hs=0.0;sp=2;sf=12;lost_time=0;rx_timestamp=317597676; rssi=-67; snr=11.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-16 10:47:45.784692;6;H=69;T=35;Hs=67.40293;sp=2;sf=12;lost_time=0;rx_timestamp=1519323824; rssi=-113; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;10;H=56;T=34;Hs=62.70039;sp=2;sf=12;lost_time=0;rx_timestamp=2720865153; rssi=-105; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;14;H=51;T=36;Hs=62.09476;sp=2;sf=12;lost_time=1;rx_timestamp=3922411233; rssi=-105; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;18;H=43;T=38;Hs=62.09476;sp=2;sf=12;lost_time=0;rx_timestamp=829005857; rssi=-105; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;22;H=41;T=40;Hs=62.09476;sp=2;sf=12;lost_time=0;rx_timestamp=2030556411; rssi=-104; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
