0000;1;H=94;T=23;Hs=0.0;sp=2;sf=7;lost_time=0;rx_timestamp=24071665; rssi=-92; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-16 07:24:53.190887;5;H=93;T=23;Hs=0.0;sp=2;sf=7;lost_time=0;rx_timestamp=195533112; rssi=-92; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;1;H=88;T=24;Hs=0.0;sp=2;sf=7;lost_time=0;rx_timestamp=815979675; rssi=-87; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;1;H=93;T=23;Hs=0.0;sp=2;sf=7;lost_time=0;rx_timestamp=14393220; rssi=-82; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;1;H=91;T=23;Hs=0.0;sp=2;sf=7;lost_time=1;rx_timestamp=9141420; rssi=-85; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-16 07:56:59.161918;5;H=90;T=23;Hs=0.0;sp=2;sf=7;lost_time=0;rx_timestamp=130798362; rssi=-87; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;1;H=80;T=25;Hs=0.0;sp=2;sf=7;lost_time=0;rx_timestamp=3612933; rssi=-79; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;1;H=51;T=41;Hs=0.0;sp=2;sf=7;lost_time=0;rx_timestamp=15274775; rssi=-48; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-16 11:02:44.662155;9;H=56;T=34;Hs=62.70039;sp=2;sf=7;lost_time=0;rx_timestamp=2418507442; rssi=-105; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;13;H=51;T=36;Hs=62.09476;sp=2;sf=7;lost_time=0;rx_timestamp=3620054166; rssi=-105; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;17;H=43;T=38;Hs=62.09476;sp=2;sf=7;lost_time=0;rx_timestamp=526647208; rssi=-105; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
