2;H=54;T=36;Hs=0.0;sp=2;sf=12;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=83; tx_counter=1; tx_frequency=868000000
2;H=51;T=41;Hs=0.0;sp=2;sf=12;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=83; tx_counter=1; tx_frequency=868000000
6;H=69;T=35;Hs=67.40293;sp=2;sf=12;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=5; tx_frequency=868000000
10;H=56;T=34;Hs=62.70039;sp=2;sf=12;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=9; tx_frequency=868000000
14;H=51;T=36;Hs=62.09476;sp=2;sf=12;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=13; tx_frequency=868000000
18;H=43;T=38;Hs=62.09476;sp=2;sf=12;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=17; tx_frequency=868000000
22;H=41;T=40;Hs=62.09476;sp=2;sf=12;rx_timestamp=1955564816; rssi=-127; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=21; tx_frequency=868000000
26;H=43;T=38;Hs=62.55789;sp=2;sf=12;rx_timestamp=1955564816; rssi=-127; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=25; tx_frequency=868000000
30;H=41;T=40;Hs=62.05914;sp=2;sf=12;rx_timestamp=1955564816; rssi=-127; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=29; tx_frequency=868000000
34;H=38;T=41;Hs=61.98789;sp=2;sf=12;rx_timestamp=1955564816; rssi=-127; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=33; tx_frequency=868000000
38;H=41;T=39;Hs=62.16602;sp=2;sf=12;rx_timestamp=1955564816; rssi=-127; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=37; tx_frequency=868000000
42;H=36;T=40;Hs=60.84788;sp=2;sf=12;rx_timestamp=1955564816; rssi=-127; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=41; tx_frequency=868000000
46;H=39;T=40;Hs=60.95476;sp=2;sf=12;rx_timestamp=1955564816; rssi=-127; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=45; tx_frequency=868000000
50;H=46;T=37;Hs=60.38476;sp=2;sf=12;rx_timestamp=1169235050; rssi=-130; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=49; tx_frequency=868000000
54;H=46;T=37;Hs=60.84788;sp=2;sf=12;rx_timestamp=2165083743; rssi=-128; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=53; tx_frequency=868000000
58;H=56;T=32;Hs=60.13538;sp=2;sf=12;rx_timestamp=2165083743; rssi=-128; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=57; tx_frequency=868000000
62;H=64;T=29;Hs=58.85287;sp=2;sf=12;rx_timestamp=2165083743; rssi=-128; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=61; tx_frequency=868000000
66;H=74;T=27;Hs=56.92911;sp=2;sf=12;rx_timestamp=2165083743; rssi=-128; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=65; tx_frequency=868000000
70;H=77;T=27;Hs=56.85785;sp=2;sf=12;rx_timestamp=2165083743; rssi=-128; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=69; tx_frequency=868000000
74;H=78;T=27;Hs=58.99537;sp=2;sf=12;rx_timestamp=3867283106; rssi=-129; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=73; tx_frequency=868000000
78;H=59;T=34;Hs=56.71535;sp=2;sf=12;rx_timestamp=3867283106; rssi=-129; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=77; tx_frequency=868000000
82;H=50;T=35;Hs=56.39472;sp=2;sf=12;rx_timestamp=2111252685; rssi=-128; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=81; tx_frequency=868000000
86;H=52;T=33;Hs=56.2166;sp=2;sf=12;rx_timestamp=2111252685; rssi=-128; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=85; tx_frequency=868000000
