0000;51;H=86;T=26;Hs=52.97471;sp=20;sf=7;rx_timestamp=8119302; rssi=-109; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;55;H=83;T=26;Hs=52.86783;sp=20;sf=7;rx_timestamp=93644631; rssi=-108; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;59;H=82;T=26;Hs=52.79658;sp=20;sf=7;rx_timestamp=179173808; rssi=-123; snr=-5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 10:50:47.783414;87;H=76;T=27;Hs=52.58283;sp=20;sf=7;rx_timestamp=50096495; rssi=-110; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;95;H=74;T=27;Hs=52.44033;sp=20;sf=7;rx_timestamp=221149542; rssi=-70; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;99;H=78;T=27;Hs=52.4047;sp=20;sf=7;rx_timestamp=306711473; rssi=-69; snr=7.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 10:56:29.576037;103;H=76;T=27;Hs=52.76096;sp=20;sf=7;rx_timestamp=392238498; rssi=-110; snr=4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;111;H=75;T=27;Hs=52.44033;sp=20;sf=7;rx_timestamp=563296326; rssi=-77; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 11:00:46.664557;115;H=78;T=28;Hs=52.4047;sp=20;sf=7;rx_timestamp=648824183; rssi=-76; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;119;H=73;T=28;Hs=52.29783;sp=20;sf=7;rx_timestamp=734354099; rssi=-78; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;127;H=75;T=28;Hs=52.61846;sp=20;sf=7;rx_timestamp=907508803; rssi=-105; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 11:06:34.167895;131;H=73;T=28;Hs=52.36907;sp=20;sf=7;rx_timestamp=995134653; rssi=-113; snr=1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 11:07:58.666376;135;H=73;T=28;Hs=55.25472;sp=20;sf=7;rx_timestamp=1080668522; rssi=-112; snr=0.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 11:09:24.236302;139;H=75;T=28;Hs=54.82722;sp=20;sf=7;rx_timestamp=1166217408; rssi=-99; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 11:10:50.156409;143;H=74;T=29;Hs=54.9341;sp=20;sf=7;rx_timestamp=1251762220; rssi=-115; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 11:13:41.704254;151;H=71;T=29;Hs=55.2191;sp=20;sf=7;rx_timestamp=1422828991; rssi=-111; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 11:15:07.688491;155;H=72;T=29;Hs=55.11222;sp=20;sf=7;rx_timestamp=1508362907; rssi=-109; snr=4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
