2;H=85;T=26;Hs=0.0;sp=2;sf=12;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1647; tx_counter=2; tx_frequency=868000000
6;H=84;T=26;Hs=0.0;sp=2;sf=12;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1647; tx_counter=6; tx_frequency=868000000
10;H=83;T=25;Hs=0.0;sp=2;sf=12;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1647; tx_counter=10; tx_frequency=868000000
14;H=91;T=25;Hs=0.0;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1647; tx_counter=14; tx_frequency=868000000
18;H=93;T=25;Hs=0.0;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1647; tx_counter=18; tx_frequency=868000000
22;H=88;T=26;Hs=0.0;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1647; tx_counter=22; tx_frequency=868000000
26;H=88;T=26;Hs=0.0;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1647; tx_counter=26; tx_frequency=868000000
30;H=79;T=26;Hs=0.0;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1647; tx_counter=30; tx_frequency=868000000
34;H=80;T=27;Hs=52.36907;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1811; tx_counter=34; tx_frequency=868000000
38;H=81;T=27;Hs=52.93908;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1811; tx_counter=38; tx_frequency=868000000
42;H=82;T=26;Hs=52.76096;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1811; tx_counter=42; tx_frequency=868000000
46;H=85;T=26;Hs=52.97471;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1811; tx_counter=46; tx_frequency=868000000
50;H=86;T=26;Hs=52.97471;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1811; tx_counter=50; tx_frequency=868000000
54;H=83;T=26;Hs=52.86783;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1811; tx_counter=54; tx_frequency=868000000
58;H=82;T=26;Hs=52.79658;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1811; tx_counter=58; tx_frequency=868000000
62;H=81;T=26;Hs=52.97471;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1811; tx_counter=62; tx_frequency=868000000
66;H=83;T=26;Hs=52.97471;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1811; tx_counter=66; tx_frequency=868000000
70;H=81;T=27;Hs=52.97471;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1811; tx_counter=70; tx_frequency=868000000
74;H=79;T=27;Hs=51.87033;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1811; tx_counter=74; tx_frequency=868000000
78;H=77;T=27;Hs=51.8347;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1811; tx_counter=78; tx_frequency=868000000
82;H=78;T=27;Hs=52.08408;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1811; tx_counter=82; tx_frequency=868000000
86;H=76;T=27;Hs=52.58283;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1811; tx_counter=86; tx_frequency=868000000
90;H=76;T=27;Hs=52.29783;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1811; tx_counter=90; tx_frequency=868000000
94;H=74;T=27;Hs=52.44033;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1811; tx_counter=94; tx_frequency=868000000
98;H=78;T=27;Hs=52.4047;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1811; tx_counter=98; tx_frequency=868000000
102;H=76;T=27;Hs=52.76096;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1975; tx_counter=102; tx_frequency=868000000
106;H=78;T=27;Hs=52.33346;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1975; tx_counter=106; tx_frequency=868000000
110;H=75;T=27;Hs=52.44033;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1975; tx_counter=110; tx_frequency=868000000
114;H=78;T=28;Hs=52.4047;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1811; tx_counter=114; tx_frequency=868000000
118;H=73;T=28;Hs=52.29783;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1975; tx_counter=118; tx_frequency=868000000
