3;H=51;T=41;Hs=0.0;sp=20;sf=7;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2139; tx_counter=2; tx_frequency=868000000
7;H=69;T=35;Hs=67.40293;sp=20;sf=7;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=6; tx_frequency=868000000
11;H=56;T=34;Hs=62.70039;sp=20;sf=7;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=10; tx_frequency=868000000
15;H=51;T=36;Hs=62.09476;sp=20;sf=7;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=14; tx_frequency=868000000
19;H=43;T=38;Hs=62.09476;sp=20;sf=7;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=18; tx_frequency=868000000
23;H=41;T=40;Hs=62.09476;sp=20;sf=7;rx_timestamp=1955564816; rssi=-127; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=22; tx_frequency=868000000
27;H=43;T=38;Hs=62.55789;sp=20;sf=7;rx_timestamp=1955564816; rssi=-127; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=26; tx_frequency=868000000
31;H=41;T=40;Hs=62.05914;sp=20;sf=7;rx_timestamp=1955564816; rssi=-127; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=30; tx_frequency=868000000
35;H=38;T=41;Hs=61.98789;sp=20;sf=7;rx_timestamp=1955564816; rssi=-127; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=34; tx_frequency=868000000
39;H=41;T=39;Hs=62.16602;sp=20;sf=7;rx_timestamp=1955564816; rssi=-127; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=38; tx_frequency=868000000
43;H=36;T=40;Hs=60.84788;sp=20;sf=7;rx_timestamp=1955564816; rssi=-127; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=42; tx_frequency=868000000
47;H=39;T=40;Hs=60.95476;sp=20;sf=7;rx_timestamp=1955564816; rssi=-127; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=46; tx_frequency=868000000
51;H=46;T=37;Hs=60.38476;sp=20;sf=7;rx_timestamp=1169235050; rssi=-130; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=50; tx_frequency=868000000
55;H=46;T=37;Hs=60.84788;sp=20;sf=7;rx_timestamp=2165083743; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=54; tx_frequency=868000000
59;H=56;T=32;Hs=60.13538;sp=20;sf=7;rx_timestamp=2165083743; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=58; tx_frequency=868000000
63;H=64;T=29;Hs=58.85287;sp=20;sf=7;rx_timestamp=2165083743; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=62; tx_frequency=868000000
67;H=74;T=27;Hs=56.92911;sp=20;sf=7;rx_timestamp=2165083743; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=66; tx_frequency=868000000
71;H=77;T=27;Hs=56.85785;sp=20;sf=7;rx_timestamp=2165083743; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=70; tx_frequency=868000000
75;H=78;T=27;Hs=58.99537;sp=20;sf=7;rx_timestamp=3867283106; rssi=-129; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=74; tx_frequency=868000000
79;H=59;T=34;Hs=56.71535;sp=20;sf=7;rx_timestamp=3867283106; rssi=-129; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=78; tx_frequency=868000000
83;H=50;T=35;Hs=56.39472;sp=20;sf=7;rx_timestamp=2111252685; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=82; tx_frequency=868000000
87;H=52;T=33;Hs=56.2166;sp=20;sf=7;rx_timestamp=2111252685; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=86; tx_frequency=868000000
91;H=71;T=26;Hs=55.7891;sp=20;sf=7;rx_timestamp=2111252685; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=90; tx_frequency=868000000
